city,state_name,lat,lng,population,density
Lancaster,Pennsylvania,40.042,-76.3012,408023,3081.6
Syracuse,New York,43.0407,-76.1437,407625,2252.8
Fayetteville,Arkansas,36.0714,-94.1661,405556,685.6
Pensacola,Florida,30.4413,-87.1911,401535,915.7
Arlington,Texas,32.6998,-97.125,394769,1590.2
Aurora,Colorado,39.7083,-104.7237,390201,918.3
Scranton,Pennsylvania,41.4044,-75.6649,375462,1160.6
Oxnard,California,34.1964,-119.1815,373423,2923.8
Indio,California,33.7346,-116.2346,371926,1055
Victorville,California,34.5277,-117.3536,363596,712.3
Trenton,New Jersey,40.2237,-74.7641,362501,4566.7
Huntsville,Alabama,34.6981,-86.6412,359389,375.1
Modesto,California,37.6375,-121.0028,355686,1946.8
Honolulu,Hawaii,21.3294,-157.846,346323,2205.7
Greensboro,North Carolina,36.0956,-79.8271,345858,858.4
Fort Wayne,Indiana,41.0888,-85.1436,345279,919.8
Anaheim,California,33.839,-117.8574,344553,2645.7
Corpus Christi,Texas,27.7254,-97.3767,339432,736.3
Fort Collins,Colorado,40.5477,-105.0656,339256,1144.7
Antioch,California,37.9787,-121.796,333347,1532.1
Jackson,Mississippi,32.3157,-90.2125,331332,518
Fayetteville,North Carolina,35.085,-78.9772,326821,546.1
Myrtle Beach,South Carolina,33.7094,-78.8844,325829,613.7
Henderson,Nevada,36.0133,-115.0381,324523,1035.6
Mobile,Alabama,30.6782,-88.1162,324067,473.8
Lexington,Kentucky,38.0423,-84.4587,321122,436.8
Lansing,Michigan,42.7142,-84.5601,318001,1103.8
Savannah,Georgia,32.0286,-81.1821,316446,520.5
Youngstown,Ohio,41.0993,-80.6463,315751,678.3
Ann Arbor,Michigan,42.2759,-83.731,314647,1648.2
Santa Ana,California,33.7367,-117.8819,311639,4395.2
Irvine,California,33.6772,-117.7738,308160,1813.4
St. Paul,Minnesota,44.9478,-93.1039,307762,2286
Poughkeepsie,New York,41.695,-73.9211,307738,2384.9
Newark,New Jersey,40.7245,-74.1725,307188,4912.5
Santa Rosa,California,38.4458,-122.7067,299986,1608.3
Concord,North Carolina,35.3933,-80.6369,297379,635.6
Winter Haven,Florida,28.0118,-81.7014,296830,614.1
Asheville,North Carolina,35.5707,-82.5537,295040,801.1
Canton,Ohio,40.8078,-81.3676,293657,1020.7
Lincoln,Nebraska,40.8099,-96.6784,293055,1114.9
Flint,Michigan,43.0236,-83.6921,291688,933.3
Lakeland,Florida,28.0557,-81.9545,290762,678.7
Jersey City,New Jersey,40.7184,-74.0686,289691,7584.1
Anchorage,Alaska,61.1508,-149.1091,289069,65.4
Springfield,Missouri,37.1943,-93.2916,289041,785.4
Plano,Texas,33.0502,-96.7486,287339,1547.3
Lubbock,Texas,33.5657,-101.8879,283024,704
Davenport,Iowa,41.5565,-90.6053,282356,607.8
Reading,Pennsylvania,40.34,-75.9267,280030,3720
Shreveport,Louisiana,32.4653,-93.7955,278269,655
Chandler,Arizona,33.2825,-111.8514,278123,1635.8
South Bend,Indiana,41.6767,-86.2696,275725,948
Wilmington,North Carolina,34.2099,-77.8866,275128,891.3
Chula Vista,California,32.6281,-117.0144,275030,2139.3
Rockford,Illinois,42.2596,-89.064,274256,872.8
Eugene,Oregon,44.0564,-123.1174,272737,1540.6
Salem,Oregon,44.9233,-123.0244,272331,1393.7
Gilbert,Arizona,33.31,-111.7463,271118,1522
North Las Vegas,Nevada,36.2883,-115.0888,270773,992.4
Santa Clarita,California,34.4175,-118.4964,265529,1201.1
Peoria,Illinois,40.752,-89.6154,262461,899.5
Tallahassee,Florida,30.4551,-84.2527,261271,751.8
Killeen,Texas,31.0753,-97.7297,261099,1103.6
St. Petersburg,Florida,27.7931,-82.6652,260646,1628.3
Kennewick,Washington,46.1978,-119.1732,260091,1142.9
Columbus,Georgia,32.51,-84.8771,257578,364.5
Laredo,Texas,27.5625,-99.4874,255949,905.9
Irving,Texas,32.8583,-96.9702,255036,1470.2
Round Lake Beach,Illinois,42.3791,-88.0811,252224,2072.3
Montgomery,Alabama,32.3482,-86.2668,251545,479.3
Chesapeake,Virginia,36.6778,-76.3023,251153,286.5
Glendale,Arizona,33.5791,-112.2311,250193,1436.5
Nashua,New Hampshire,42.7491,-71.491,247828,1141.1
York,Pennsylvania,39.9651,-76.7315,246769,3270.5
Garland,Texas,32.91,-96.6304,245298,1665.8
Rock Hill,South Carolina,34.9415,-81.0241,244403,648.9
Scottsdale,Arizona,33.6872,-111.8651,242169,508.2
Aguadilla,Puerto Rico,18.4382,-67.1537,235546,1701.8
Arlington,Virginia,38.8786,-77.1011,235463,3497
Norfolk,Virginia,36.8945,-76.259,235037,1703.4
Appleton,Wisconsin,44.278,-88.3892,234701,1137.1
Enterprise,Nevada,36.0091,-115.2278,232043,1357.5
Gulfport,Mississippi,30.4274,-89.0704,231754,503.5
Lafayette,Louisiana,30.2082,-92.0325,231548,835.2
Bremerton,Washington,47.5436,-122.7121,228576,604.8
Fremont,California,37.5265,-121.9843,228518,1129.7
Green Bay,Wisconsin,44.5148,-87.9895,227679,904.9
Fargo,North Dakota,46.8651,-96.8292,225066,967.9
Deltona,Florida,28.905,-81.2137,224303,989.8
Brownsville,Texas,25.9975,-97.458,223416,544.2
Hialeah,Florida,25.8696,-80.3045,221901,3967.9
San Bernardino,California,34.1416,-117.2943,221774,1378.6
Tacoma,Washington,47.2431,-122.4531,220482,1712.1
Gainesville,Florida,29.6804,-82.3459,219946,866.2
Spring Valley,Nevada,36.0952,-115.2636,219913,2391.4
Clarksville,Tennessee,36.5692,-87.3413,218159,663.2
College Station,Texas,30.5852,-96.2959,215768,922.8
Olympia,Washington,47.0417,-122.8959,215677,1177.8
Roanoke,Virginia,37.2785,-79.9581,214019,896
Portland,Maine,43.6773,-70.2715,213660,1228
Fontana,California,34.0968,-117.4599,211921,1890.3
Spartanburg,South Carolina,34.9442,-81.9251,210388,735.4
Moreno Valley,California,33.9244,-117.2045,210378,1583.1
Frisco,Texas,33.156,-96.8216,210238,1183.5
Yonkers,New York,40.9466,-73.8673,209529,4493
Thousand Oaks,California,34.1914,-118.8756,208302,878.1
Sioux Falls,South Dakota,43.5396,-96.7311,207795,913
Hagerstown,Maryland,39.6401,-77.7217,206889,1299.5
Evansville,Indiana,37.9881,-87.5341,206418,949.4
Amarillo,Texas,35.1984,-101.8316,205100,748.8
Kalamazoo,Michigan,42.2749,-85.5882,204408,1146.1
Lorain,Ohio,41.4409,-82.184,203802,1066.5
Galveston,Texas,29.2484,-94.8913,202810,501.9
McKinney,Texas,33.2016,-96.667,202314,1142.6
Huntington,West Virginia,38.4109,-82.4345,201208,1099.5
Nampa,Idaho,43.5844,-116.5638,201129,1142.6
Hickory,North Carolina,35.741,-81.3223,200500,523
Waterbury,Connecticut,41.5582,-73.0361,199965,1546.2
Sunrise Manor,Nevada,36.1783,-115.0487,199099,2280.2
Grand Prairie,Texas,32.6871,-97.0208,198564,1058.6
Ocala,Florida,29.178,-82.1511,197770,522
Waco,Texas,31.5599,-97.1882,197594,602.1
Overland Park,Kansas,38.887,-94.687,197199,1011.4
Frederick,Maryland,39.4337,-77.4141,196743,1299.1
Huntington Beach,California,33.696,-118.0018,196010,2804.8
Santa Barbara,California,34.4285,-119.7202,194950,1743.9
Peoria,Arizona,33.7843,-112.2989,194338,424.6
Cedar Rapids,Iowa,41.9662,-91.6783,192755,708
Vancouver,Washington,45.6366,-122.5967,192696,1524.5
Glendale,California,34.1819,-118.2468,192270,2435.7
Gastonia,North Carolina,35.2494,-81.1854,189767,586.5
Spring Hill,Florida,28.4798,-82.53,188743,765.6
Murfreesboro,Tennessee,35.849,-86.4121,187601,942.5
Tempe,Arizona,33.3881,-111.9319,186419,1800.3
Paradise,Nevada,36.0872,-115.1355,186178,1695.2
Newport News,Virginia,37.1051,-76.5185,184774,1034
Erie,Pennsylvania,42.1167,-80.0733,184332,1900.2
Fort Lauderdale,Florida,26.1412,-80.1464,183032,2043.5
Gainesville,Georgia,34.2902,-83.8294,182116,503
Aurora,Illinois,41.7638,-88.2902,179867,1541.1
Mauldin,South Carolina,34.7821,-82.3032,179196,808.1
Ontario,California,34.0393,-117.6064,178347,1377.6
Elk Grove,California,38.4161,-121.3842,177221,1606.2
Panama City,Florida,30.1995,-85.6003,177125,372.4
Cary,North Carolina,35.7819,-78.8195,176686,1118.9
Hemet,California,33.7341,-116.9969,176009,1196.1
Danbury,Connecticut,41.4015,-73.4709,175074,790.8
Rancho Cucamonga,California,34.1247,-117.5667,174693,1450.2
Salinas,California,36.6883,-121.6317,172995,2659.8
Oceanside,California,33.2247,-117.3083,172542,1614.3
Vallejo,California,38.1125,-122.2342,171414,1581.2
High Point,North Carolina,35.991,-79.9937,171342,774.7
Garden Grove,California,33.7787,-117.9601,170603,3669
Pembroke Pines,Florida,26.0128,-80.3382,170557,2015
Lancaster,California,34.6935,-118.1753,170013,696.2
Marysville,Washington,48.0809,-122.1561,168664,1331.5
Bayamón,Puerto Rico,18.3794,-66.1635,167312,2384.9
Fredericksburg,Virginia,38.2992,-77.4872,166746,1048.6
Visalia,California,36.3276,-119.3269,166273,1430.5
Tuscaloosa,Alabama,33.2348,-87.5268,166253,664.9
Palmdale,California,34.5944,-118.1057,165487,602.4
Santa Cruz,California,36.9789,-122.0346,165263,1847.3
Medford,Oregon,42.3372,-122.854,164628,1158.9
Norwich,Connecticut,41.5495,-72.0882,163299,550.2
Merced,California,37.3057,-120.4779,163257,1490.9
Manchester,New Hampshire,42.9848,-71.4447,162716,1347.3
Odessa,Texas,31.8801,-102.3448,162648,846.3
Muskegon,Michigan,43.2281,-86.2562,162458,1015.6
Leesburg,Florida,28.7672,-81.8962,161515,279.3
Lafayette,Indiana,40.3991,-86.8593,160373,898.1
Hayward,California,37.6328,-122.0766,159201,1341.6
Corona,California,33.8616,-117.5649,158839,1537.3
Paterson,New Jersey,40.9147,-74.1624,157660,7235.4
Alexandria,Virginia,38.8185,-77.0861,156788,4053.2
Macon,Georgia,32.8065,-83.6974,156543,242.4
Lakewood,Colorado,39.6977,-105.1172,156309,1388
Springfield,Illinois,39.7709,-89.654,156240,716.7
Kansas City,Kansas,39.1235,-94.7443,154776,479.1
Burlington,North Carolina,36.076,-79.4685,154504,734.7
Warner Robins,Georgia,32.5961,-83.6527,154327,811.6
Sunnyvale,California,37.3836,-122.0255,153455,2685.8
Hollywood,Florida,26.0293,-80.1679,152935,2166.9
Roseville,California,38.7703,-121.3196,152438,1335
New Bedford,Massachusetts,41.6697,-70.9428,152104,1944.4
South Lyon,Michigan,42.4614,-83.6526,151231,1220.3
Bellevue,Washington,47.5951,-122.1535,151199,1744.3
Fairfield,California,38.2583,-122.0335,150794,1114
Binghamton,New York,42.1014,-75.9093,150564,1744.8
Topeka,Kansas,39.0346,-95.6955,150343,786.6
Escondido,California,33.1348,-117.0723,149913,1549.6
Joliet,Illinois,41.5188,-88.1499,149785,872.5
Surprise,Arizona,33.6815,-112.4515,149519,522.4
Naperville,Illinois,41.748,-88.1659,149424,1466
Pasadena,Texas,29.6575,-95.1498,149345,1319.8
Mesquite,Texas,32.7602,-96.5865,148848,1170.4
Champaign,Illinois,40.1142,-88.2737,148477,1489.3
Pomona,California,34.0585,-117.7626,148391,2492.8
Houma,Louisiana,29.58,-90.7059,147841,874.3
Athens,Georgia,33.9508,-83.3689,147368,421.1
St. George,Utah,37.0758,-113.5752,147347,494.7
Beaumont,Texas,30.0849,-94.1451,146554,534.5
Elkhart,Indiana,41.6916,-85.9627,146511,737.8
Lake Charles,Louisiana,30.201,-93.2111,145110,664.4
Santa Maria,California,34.9333,-120.4431,144857,1859.9
Yuma,Arizona,32.5995,-114.5491,144509,314
Olathe,Kansas,38.8833,-94.82,143720,861.5
Midland,Texas,32.0243,-102.1147,143714,679.3
Greeley,Colorado,40.4152,-104.7706,143554,842.6
Torrance,California,33.8346,-118.3416,143499,2700.6
Thornton,Colorado,39.9197,-104.9438,142878,1510.4
Las Cruces,New Mexico,32.3265,-106.7893,142432,565.2
Columbia,Missouri,38.9472,-92.3268,141811,727
Fullerton,California,33.8841,-117.9279,141278,2433
Grand Junction,Colorado,39.0877,-108.5673,141008,635
Carolina,Puerto Rico,18.4054,-65.9792,139051,2592.1
Metairie,Louisiana,29.9977,-90.178,138995,2317.3
Orange,California,33.8038,-117.8218,138723,2086.8
Warren,Michigan,42.4934,-83.027,138128,1551.4
West Valley City,Utah,40.6886,-112.0123,137955,1486.7
Hampton,Virginia,37.0551,-76.363,137334,1030.4
Pasadena,California,34.1597,-118.139,136462,2294.8
Miramar,Florida,25.9773,-80.3351,135986,1819.7
Elizabeth,New Jersey,40.6658,-74.1913,135887,4259.1
Stamford,Connecticut,41.1039,-73.5585,135806,1393.5
Racine,Wisconsin,42.7274,-87.8135,135512,1925.4
Kent,Washington,47.3887,-122.2128,135015,1540.8
Yakima,Washington,46.5923,-120.5496,134003,1330.9
Coral Springs,Florida,26.2702,-80.2591,133962,2262.2
Sterling Heights,Michigan,42.5809,-83.0305,133473,1413.9
Billings,Montana,45.7891,-108.5526,133173,991.9
Bloomington,Illinois,40.4757,-88.9703,133107,1120.8
Charleston,West Virginia,38.3484,-81.6322,133045,589.3
Carrollton,Texas,32.989,-96.8999,132741,1398.2
Tyler,Texas,32.3184,-95.3062,131037,719.7
Iowa City,Iowa,41.6559,-91.5303,129897,1127.9
Johnson City,Tennessee,36.3406,-82.3806,129818,630.6
Santa Clara,California,37.3646,-121.968,129239,2730.2
Bellingham,Washington,48.7548,-122.469,128737,1264.7
Norman,Oklahoma,35.2335,-97.3471,128714,278.2
Coeur d'Alene,Idaho,47.704,-116.7936,128680,1271.6
Fort Smith,Arkansas,35.3495,-94.3695,128384,538.3
Lewisville,Texas,33.0454,-96.9815,128313,1218.5
Dover,Delaware,39.161,-75.5202,128045,640.2
Yuba City,California,39.1357,-121.6383,127854,1620.5
Lehigh Acres,Florida,26.612,-81.6388,127391,530.6
Abilene,Texas,32.4543,-99.7384,127130,460.2
Simi Valley,California,34.2663,-118.749,126503,1168.8
Pearland,Texas,29.5581,-95.3218,125983,998.1
Kenosha,Wisconsin,42.5865,-87.8773,125807,1317
Arecibo,Puerto Rico,18.4491,-66.7387,125548,1001.6
Meridian,Idaho,43.6116,-116.3977,124865,1298.5
Round Rock,Texas,30.527,-97.6642,124288,1258.3
Waldorf,Maryland,38.6085,-76.9194,124186,879.5
Temple,Texas,31.1068,-97.3891,123932,456.5
Lynchburg,Virginia,37.4003,-79.1909,123662,625.6
Rochester,Minnesota,44.0154,-92.478,123252,828.8
Logan,Utah,41.7399,-111.8422,122915,1151.4
Arvada,Colorado,39.832,-105.151,122835,1216.4
Clovis,California,36.8278,-119.683,122719,1804.6
Independence,Missouri,39.0871,-94.3501,121944,603.7
Redding,California,40.5698,-122.365,120849,605.5
Greenville,North Carolina,35.5943,-77.376,120595,891.7
Duluth,Minnesota,46.7756,-92.1393,120443,468
Berkeley,California,37.8722,-122.276,120223,4449.7
Boulder,Colorado,40.0248,-105.2524,120121,1526.6
Pueblo,Colorado,38.2701,-104.6114,120020,760.5
West Palm Beach,Florida,26.7469,-80.132,119508,856.5
Burlington,Vermont,44.4876,-73.2316,118409,1673.2
Seaside,California,36.6224,-121.8199,118398,1383
Richardson,Texas,32.9716,-96.7093,118269,1598.8
Cambridge,Massachusetts,42.3759,-71.1185,117794,7109.8
Monroe,Louisiana,32.5185,-92.0774,117507,613.5
North Charleston,South Carolina,32.9067,-80.0722,117460,581.7
Saginaw,Michigan,43.4199,-83.9501,117412,991
Clearwater,Florida,27.979,-82.7623,117075,1726.6
The Woodlands,Texas,30.1738,-95.5134,116916,1043.1
Brandon,Florida,27.9367,-82.3,116365,1356
St. Cloud,Minnesota,45.534,-94.1718,116347,671.3
West Jordan,Utah,40.6024,-112.0008,116277,1377.7
Broken Arrow,Oklahoma,36.038,-95.7806,115919,710.9
Harlingen,Texas,26.1916,-97.6977,115767,687.2
Kailua,Hawaii,21.392,-157.7396,115634,1975.3
Westminster,Colorado,39.8837,-105.0624,115546,1410.9
Gilroy,California,37.0046,-121.5854,115448,1367.4
Richmond,California,37.9477,-122.3389,115396,1483.1
Mandeville,Louisiana,30.3751,-90.0904,115292,539.4
Utica,New York,43.0962,-75.2261,114961,1487.9
Ponce,Puerto Rico,18.0127,-66.6212,114940,1494.8
League City,Texas,29.4874,-95.1087,114885,863.7
Port Arthur,Texas,29.8554,-93.9264,114860,285.1
Lowell,Massachusetts,42.6389,-71.3217,114799,3256.6
East Los Angeles,California,34.0326,-118.1691,114617,5937.6
Carlsbad,California,33.1246,-117.2834,114500,1169.2
Elgin,Illinois,42.0383,-88.324,114106,1154.1
Waterloo,Iowa,42.4918,-92.3522,113832,419.6
Leominster,Massachusetts,42.5209,-71.7717,113462,585.4
Bend,Oregon,44.0563,-121.3095,113454,1114.1
Sioux City,Iowa,42.4959,-96.3901,112823,559.1
Gresham,Oregon,45.5021,-122.4413,112818,1848.5
Longview,Texas,32.5193,-94.7622,112687,568.3
Pompano Beach,Florida,26.2428,-80.1312,112212,1800.3
Downey,California,33.9379,-118.1311,111793,3478.3
Murrieta,California,33.5719,-117.1909,111621,1217.5
Idaho Falls,Idaho,43.4871,-112.0362,111295,948.1
Miami Gardens,Florida,25.9433,-80.2426,111264,2324.7
Everett,Washington,47.9525,-122.1669,111083,1276.4
Holland,Michigan,42.7677,-86.0984,110905,781.7
Costa Mesa,California,33.6667,-117.9135,110538,2700.2
Temecula,California,33.4928,-117.1315,110404,1146.6
Jacksonville,North Carolina,34.7289,-77.3941,109958,581.6
San Buenaventura,California,34.2741,-119.2314,109900,1939.9
Sugar Land,Texas,29.5935,-95.6358,109735,1047
Chico,California,39.7578,-121.8161,109411,1146.2
South Fulton,Georgia,33.6273,-84.58,109157,454
Sparks,Nevada,39.5736,-119.7161,109106,1154.3
Eau Claire,Wisconsin,44.8197,-91.4948,108477,779.1
Auburn,Alabama,32.6087,-85.4903,108327,482.9
Dearborn,Michigan,42.3127,-83.213,107846,1717.3
Riverview,Florida,27.8227,-82.3023,107776,901.1
Allen,Texas,33.1088,-96.6735,107684,1574.8
West Covina,California,34.0555,-117.9113,107436,2586.7
Centennial,Colorado,39.5926,-104.8673,107386,1374.9
Bloomington,Indiana,39.1637,-86.5257,107262,1308.5
Sandy Springs,Georgia,33.9366,-84.3703,107198,1097.6
El Monte,California,34.0739,-118.0291,107066,4325.4
Hillsboro,Oregon,45.5273,-122.936,107050,1563.1
Menifee,California,33.6909,-117.1849,107020,889.3
Rio Rancho,New Mexico,35.2873,-106.6982,106533,397.9
Davie,Florida,26.0789,-80.287,106412,1177.4
Jurupa Valley,California,34.001,-117.4706,106244,955.3
Columbia,Maryland,39.2004,-76.859,105871,1280.1
Inglewood,California,33.9566,-118.3444,105575,4495.6
Spokane Valley,Washington,47.6626,-117.2346,105460,1079.5
Renton,Washington,47.4784,-122.1918,105279,1726.7
San Tan Valley,Arizona,33.1786,-111.5629,105231,536.1
Burbank,California,34.1879,-118.3235,105165,2344.9
Brockton,Massachusetts,42.0821,-71.0242,105080,1901.8
El Cajon,California,32.8017,-116.9604,104909,2791.6
Rialto,California,34.1175,-117.3892,103866,1664.6
San Mateo,California,37.5522,-122.3121,103555,3295.1
Goodyear,Arizona,33.2614,-112.3622,102891,207.7
Charlottesville,Virginia,38.0375,-78.4855,102802,1728.4
Lafayette,Colorado,39.9946,-105.0998,102615,1271.2
Lee's Summit,Missouri,38.9171,-94.3816,102583,619.9
Edinburg,Texas,26.3196,-98.1597,102561,849.9
Daly City,California,37.6862,-122.4685,102560,5176.6
Wichita Falls,Texas,33.9072,-98.5291,102558,548.5
Bowling Green,Kentucky,36.9716,-86.4378,102247,677.1
Longmont,Colorado,40.1686,-105.1005,102183,1305.7
Vacaville,California,38.3587,-121.9673,102085,1319.6
Highlands Ranch,Colorado,39.5419,-104.9708,101437,1613.8
Quincy,Massachusetts,42.2506,-71.0187,101361,2361.4
Fishers,Indiana,39.9588,-85.9659,100918,1076.9
Lynn,Massachusetts,42.4781,-70.9664,100905,3627.9
Norwalk,California,33.9069,-118.0829,100713,4005.8
Carmel,Indiana,39.965,-86.146,100501,790.5
Hesperia,California,34.3975,-117.3147,100141,532
St. Augustine,Florida,29.8976,-81.31,99936,607.4
Buckeye,Arizona,33.4314,-112.6429,99844,97.5
San Angelo,Texas,31.4424,-100.4504,99507,639.7
Federal Way,Washington,47.3091,-122.3358,99232,1717
Bismarck,North Dakota,46.8143,-100.7694,99060,825.4
Boca Raton,Florida,26.3752,-80.108,98833,1307.8
New Braunfels,Texas,29.6994,-98.1148,98700,846.4
Vista,California,33.1896,-117.2386,98646,2007.7
Beaverton,Oregon,45.4779,-122.8168,97502,1907.5
Portsmouth,Virginia,36.8468,-76.354,97299,1128.1
Orem,Utah,40.2981,-111.6994,97048,2012.7
Conroe,Texas,30.3238,-95.4824,96976,493.6
Suffolk,Virginia,36.6953,-76.6398,96638,93.5
Sunrise,Florida,26.1547,-80.2997,96633,2303.3
Lawrence,Kansas,38.9597,-95.2642,96380,1064.6
Arden-Arcade,California,38.6017,-121.3845,96319,2339.6
Prescott Valley,Arizona,34.598,-112.3185,96190,458.7
Middletown,Ohio,39.5033,-84.3659,95894,746.3
San Germán,Puerto Rico,18.0827,-67.046,95622,1467.1
Edmond,Oklahoma,35.6689,-97.416,95618,437.4
Tracy,California,37.7269,-121.4523,95358,1397.9
Manteca,California,37.7927,-121.2264,95347,1534.8
